yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender,GMM_Cluster,GMM_Max_Probability
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,68,Once a month,Female,6,0.9999999999999218
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,+1,49,Once a month,Female,5,0.999999999958078
No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,I hate it!-5,50,Once a week,Female,0,0.9999989665372484
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,43,Every three months,Female,5,0.9999828688197381
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,+4,67,Every three months,Male,5,0.9999713404849631
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,40,Once a week,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,I hate it!-5,35,Never,Male,5,0.9999999999991047
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,42,Every three months,Female,3,0.999999999999595
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,41,Every three months,Female,4,1.0
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,32,Once a month,Male,1,1.0
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+3,21,Once a month,Female,5,0.9999999999999858
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,56,Once a week,Female,7,0.9999999978343652
No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,+2,27,Every three months,Male,7,0.9999827456372965
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,48,Once a year,Female,2,0.9998026921367879
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,32,Once a week,Male,5,0.9999682912511245
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+3,50,Once a month,Male,7,0.9999742942287393
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,42,Once a year,Female,5,0.9999999997524398
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I love it!+5,35,More than once a week,Male,1,1.0
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+4,57,Once a month,Female,5,0.9998067464186979
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,68,Once a month,Male,5,0.9999935367592383
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+3,51,Once a month,Female,2,0.9997479123672843
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,-2,42,Every three months,Female,0,0.999999677656525
No,Yes,No,Yes,No,No,No,No,No,No,No,0,44,Every three months,Female,3,0.999999999996426
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,57,Once a year,Female,5,0.9999682912511245
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,56,Once a year,Female,7,0.9999742942287393
No,Yes,Yes,Yes,No,No,No,No,No,No,No,-2,57,Every three months,Female,3,0.9999999999981082
Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,33,Once a week,Female,6,0.9999999898062732
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,63,Every three months,Male,3,0.999999999999595
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,55,Once a month,Male,5,0.9999828688197381
No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,39,Every three months,Female,3,0.999999959026078
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,65,Never,Male,4,0.9999997067537126
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,47,Once a week,Female,1,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+1,37,Every three months,Female,6,0.9999999999995985
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,22,Once a year,Male,7,0.9999448130082607
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,51,Every three months,Male,7,0.9999742942287393
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,24,Once a month,Female,6,0.9999999999995026
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+1,49,Once a month,Female,5,0.9999999999791882
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,55,Once a month,Female,6,0.9999999091818387
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,48,Once a year,Male,4,0.9999991978184772
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,24,Every three months,Female,5,0.9999999999999432
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-2,47,Every three months,Male,0,0.999999999884948
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,54,Once a year,Male,4,0.9999991978184772
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,23,Once a week,Female,5,0.9999682912511245
No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,+1,34,Every three months,Female,7,0.9999999999998401
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+3,32,Once a month,Female,5,0.9999999999991047
No,Yes,No,No,No,Yes,Yes,No,No,No,No,+3,58,Once a month,Female,4,0.9999999999996803
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,46,Once a year,Female,2,0.9997479123672843
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,23,Every three months,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,31,Once a month,Male,5,0.9999999999999432
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,59,Once a year,Male,7,0.9999999978343652
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0,47,Once a month,Male,0,0.9999999999975175
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,58,More than once a week,Female,5,0.9999682912511245
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,55,Every three months,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,+4,62,Once a month,Female,1,1.0
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,20,Once a month,Male,5,0.9999999999999432
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,42,Every three months,Male,4,1.0
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,29,Once a month,Male,7,0.9999448130082607
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+1,63,Once a month,Male,2,0.9997479123672843
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+2,26,Once a week,Male,7,0.9999999999087699
Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,19,Once a month,Female,2,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,61,Once a year,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,19,Once a week,Male,5,0.9999999997524398
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+4,56,Once a month,Female,6,0.9999999091818387
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,39,Once a year,Female,2,0.999986387260939
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,0,45,Once a month,Male,5,0.9999999997524398
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,52,Once a year,Male,3,0.999999999999595
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,0,42,Once a month,Female,6,0.9999999999995026
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,47,Once a month,Female,5,0.9999999997524398
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,22,Once a week,Female,5,0.9999682912511245
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,63,Once a month,Male,5,0.9999999999996625
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,65,Every three months,Female,5,0.9999999999999432
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+1,63,Every three months,Male,4,0.9999999999998721
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,25,Once a month,Male,5,0.9999999997524398
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,62,Once a year,Male,5,0.9999999997524398
No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,0,59,Once a year,Female,7,0.9999999953647567
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,67,Once a year,Male,7,0.9999999978343652
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,60,Never,Male,2,0.9999999440098131
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,69,Once a week,Male,6,0.9999999999995026
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,40,Never,Male,2,0.9999999440098131
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,67,Once a year,Male,6,0.9999999999995026
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,37,Every three months,Female,6,0.9999999999995026
No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-4,65,Every three months,Male,0,0.9999999999593054
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,64,Once a month,Female,5,0.9999828688197381
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,57,Once a month,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,I love it!+5,37,Once a week,Male,0,0.9999979790412905
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+2,39,Once a month,Female,0,0.9999979790412905
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+1,64,Every three months,Male,5,0.9999935367592383
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-2,23,Once a year,Male,5,0.9999999999991047
Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,+2,50,Once a week,Female,2,1.0
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,60,Every three months,Male,2,0.999986387260939
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-2,32,Once a year,Male,2,0.999986387260939
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,59,Never,Female,7,0.9999448130082607
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-2,37,Once a month,Male,2,0.9999999471154158
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,+3,25,More than once a week,Female,1,1.0
No,Yes,No,No,No,Yes,No,No,No,No,No,+3,55,Once a month,Male,4,0.9999999999998899
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,-2,25,Once a month,Male,0,0.9999999595346488
No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,-3,35,Once a year,Female,4,0.9999999999999947
No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,58,Never,Female,2,0.9385698428928403
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,32,Never,Male,7,0.9999448130082607
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,I hate it!-5,45,Never,Female,5,0.999999999958078
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,60,Once a year,Female,2,0.9997479123672843
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,59,Once a year,Male,4,1.0
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,36,Once a month,Female,4,0.9999997067537126
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,0,55,Once a year,Male,7,0.9999448130082607
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,55,Every three months,Female,5,1.0
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,22,Once a month,Female,5,0.9999828688197381
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,21,Once a week,Female,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,62,Once a week,Male,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,29,Once a month,Male,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+1,36,Once a month,Female,1,1.0
No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,44,Once a year,Male,7,0.9999827456372965
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,47,Once a year,Female,7,0.9999742942287393
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,57,Once a year,Female,3,0.999999999999595
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,23,Once a year,Female,4,1.0
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,31,Once a week,Female,5,0.9999999999999432
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,70,More than once a week,Female,6,0.9999999999995026
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,24,Once a week,Male,6,0.9999999999990443
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,27,Every three months,Male,0,0.9999995429955538
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,58,Never,Female,7,0.9999448130082607
No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,+2,51,Once a week,Male,4,0.9999997802700601
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-2,36,Every three months,Male,3,0.999999999999595
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,36,Once a month,Female,4,1.0
No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0,43,Every three months,Male,2,0.9999922790797765
No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,64,Never,Male,3,0.9999999693704589
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-3,52,Once a month,Male,2,0.9999776649436288
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,53,Never,Male,4,1.0
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,52,Never,Female,2,0.999986387260939
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,33,Once a week,Female,5,0.9999999999996625
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,24,Once a week,Male,5,0.9999999999999432
Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,+4,64,Once a month,Female,6,0.9999999999789662
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,+3,41,Once a month,Male,0,0.9998878915917495
No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,I hate it!-5,56,Once a year,Female,7,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,49,Once a month,Female,6,0.9999999999995985
Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,24,Once a year,Female,0,0.999999993779531
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,62,Every three months,Female,4,0.9999997067537126
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,0,56,Every three months,Male,4,0.9999999999998721
Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,+3,67,Every three months,Male,1,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,27,Once a month,Male,5,0.9999682912511245
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,53,Once a year,Male,2,0.9999776649436288
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,-4,60,Once a year,Female,1,1.0
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,51,Once a year,Female,7,0.9999999978343652
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,I hate it!-5,67,Once a year,Female,0,0.9999997331024036
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,27,Once a month,Female,5,0.9999682912511245
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,56,Every three months,Male,2,0.9998026921367879
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,39,Once a month,Male,5,0.9999999999999432
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,35,Once a week,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,68,Once a month,Female,5,0.9999999999999432
Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,57,Once a week,Female,1,1.0
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,50,Never,Female,7,0.9999448130082607
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,64,Once a month,Female,6,0.9999999999995026
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,66,Once a week,Female,4,0.9999997067537126
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,27,More than once a week,Male,6,0.9999999999914913
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,70,Never,Male,2,0.9999999471154158
